序号,优先级,大类,场景,关键药,QA状态,QA问题,来源
16,P0,内科急症,高钾血症,葡萄糖酸钙/胰岛素+葡萄糖,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,高钾血症急诊处理共识/药品说明书；需PDF页码二核
17,P0,内科急症,低血糖,葡萄糖,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,低血糖急诊处理流程/糖尿病指南；需PDF页码二核
18,P0,内科急症,急性肺水肿,呋塞米/硝酸甘油/吗啡,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,急性心力衰竭指南/药品说明书；需PDF页码二核
19,P0,内科急症,哮喘急性发作,沙丁胺醇/异丙托溴铵/全身糖皮质激素,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,哮喘急性发作急诊处理指南/GINA；需PDF页码二核
20,P0,内科急症,慢阻肺急性加重,沙丁胺醇/异丙托溴铵/糖皮质激素/抗菌药,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,慢阻肺急性加重指南；待核
21,P0,内科急症,急性肺栓塞,肝素/阿替普酶,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,肺血栓栓塞症诊治指南；待核
22,P0,内科急症,主动脉夹层,艾司洛尔/硝普钠,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,主动脉夹层诊疗指南/药品说明书；需PDF页码二核
23,P0,中毒,阿片中毒,纳洛酮,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,急性中毒诊治指南/纳洛酮说明书；需PDF页码二核
24,P0,中毒,苯二氮䓬类中毒,氟马西尼,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,急性中毒诊治指南/氟马西尼说明书；需PDF页码二核
25,P0,中毒,有机磷中毒,阿托品/解磷定,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,急性有机磷农药中毒诊治指南；待核
26,P0,中毒,一氧化碳中毒,氧疗/高压氧,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,一氧化碳中毒诊治指南；待核
27,P0,产科急症,子痫,硫酸镁,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,妊娠期高血压疾病诊治指南/硫酸镁说明书；需PDF页码二核
28,P0,产科急症,产后出血,缩宫素/卡前列素/米索前列醇,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,产后出血预防与处理指南；待核
29,P0,产科急症,羊水栓塞,支持治疗/血制品,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,羊水栓塞诊治专家共识；待核
30,P0,儿科急症,儿童哮喘急性发作,沙丁胺醇,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训,儿童支气管哮喘急性发作诊疗指南；需PDF页码二核
31,P1,心脏骤停/心律失常,无脉电活动,肾上腺素/可逆病因处理,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,2020 AHA CPR/ECC 成人心脏骤停流程；待PDF页码/章节检索
32,P1,心脏骤停/心律失常,心搏停止,肾上腺素/高质量心肺复苏,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,2020 AHA CPR/ECC 成人心脏骤停流程；待PDF页码/章节检索
33,P1,心脏骤停/心律失常,复苏后低血压,去甲肾上腺素/肾上腺素/多巴胺,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,2020 AHA CPR/ECC 复苏后管理；待PDF页码/章节检索
34,P1,心脏骤停/心律失常,尖端扭转型室速,硫酸镁,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA ACLS 心律失常流程/药品说明书；待PDF页码/章节检索
35,P1,心脏骤停/心律失常,阵发性室上性心动过速,腺苷,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA ACLS 心动过速流程/腺苷说明书；待PDF页码/章节检索
36,P1,心脏骤停/心律失常,宽QRS心动过速稳定型,普鲁卡因胺/胺碘酮/索他洛尔,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA ACLS 心动过速流程；待PDF页码/章节检索
37,P1,心脏骤停/心律失常,窄QRS心动过速稳定型,腺苷/β受体阻滞剂,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA ACLS 心动过速流程；待PDF页码/章节检索
38,P1,心脏骤停/心律失常,室颤电除颤能量,双相波除颤,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA ACLS 成人心脏骤停流程；待PDF页码/章节检索
39,P1,心脏骤停/心律失常,不稳定心动过速同步电复律,镇静药/同步电复律,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA ACLS 心动过速流程；待PDF页码/章节检索
40,P1,心脏骤停/心律失常,洋地黄中毒性心律失常,地高辛免疫Fab/镁/钾校正,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索
41,P1,心脏骤停/心律失常,低钾相关室性心律失常,氯化钾/镁,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,电解质紊乱急诊共识；待PDF页码/章节检索
42,P1,心脏骤停/心律失常,高钾致宽QRS心律失常,葡萄糖酸钙/胰岛素葡萄糖,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,高钾血症急诊处理共识；待PDF页码/章节检索
43,P1,心脏骤停/心律失常,β受体阻滞剂中毒性心动过缓,胰高血糖素/高剂量胰岛素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索
44,P1,心脏骤停/心律失常,钙通道阻滞剂中毒性休克,钙剂/高剂量胰岛素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索
45,P1,心脏骤停/心律失常,局麻药全身毒性,脂肪乳,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境/麻醉相关指南；待PDF页码/章节检索
46,P1,休克,脓毒性休克初始抗菌药,广谱抗菌药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,Surviving Sepsis Campaign/中国脓毒症指南；待PDF页码/章节检索
47,P1,休克,脓毒性休克首选升压药,去甲肾上腺素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,Surviving Sepsis Campaign/中国脓毒症指南；待PDF页码/章节检索
48,P1,休克,脓毒性休克激素治疗,氢化可的松,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,Surviving Sepsis Campaign/中国脓毒症指南；待PDF页码/章节检索
49,P1,休克,过敏性休克肾上腺素输注,肾上腺素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,WAO anaphylaxis guidance/急诊指南；待PDF页码/章节检索
50,P1,休克,心源性休克低血压,去甲肾上腺素/多巴酚丁胺,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,心源性休克专家共识；待PDF页码/章节检索
51,P1,休克,右室梗死休克,补液/去甲肾上腺素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性冠脉综合征指南；待PDF页码/章节检索
52,P1,休克,失血性休克氨甲环酸,氨甲环酸,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,创伤失血性休克指南；待PDF页码/章节检索
53,P1,休克,创伤大量输血,红细胞/血浆/血小板,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,大量输血指南；待PDF页码/章节检索
54,P1,休克,肾上腺危象,氢化可的松/补液,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,内分泌急症指南；待PDF页码/章节检索
55,P1,休克,神经源性休克,去甲肾上腺素/补液,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,创伤/脊髓损伤指南；待PDF页码/章节检索
56,P1,神经急症,急性缺血性脑卒中桥接取栓,阿替普酶/抗血小板策略,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性缺血性脑卒中指南；待PDF页码/章节检索
57,P1,神经急症,脑出血降压,尼卡地平/乌拉地尔,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,脑出血诊治指南；待PDF页码/章节检索
58,P1,神经急症,华法林相关颅内出血逆转,维生素K/PCC,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,抗栓逆转指南；待PDF页码/章节检索
59,P1,神经急症,达比加群相关出血逆转,依达赛珠单抗,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,抗凝逆转指南/说明书；待PDF页码/章节检索
60,P1,神经急症,癫痫持续状态二线治疗,丙戊酸钠/左乙拉西坦/磷苯妥英,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,癫痫持续状态指南；待PDF页码/章节检索
61,P1,神经急症,惊厥性癫痫持续状态院前处理,咪达唑仑/地西泮,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,癫痫持续状态指南；待PDF页码/章节检索
62,P1,神经急症,颅高压高渗盐水,3%氯化钠,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,神经重症指南；待PDF页码/章节检索
63,P1,神经急症,蛛网膜下腔出血血管痉挛预防,尼莫地平,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,蛛网膜下腔出血指南；待PDF页码/章节检索
64,P1,神经急症,重症肌无力危象,新斯的明/免疫球蛋白,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,神经免疫急症指南；待PDF页码/章节检索
65,P1,神经急症,细菌性脑膜炎经验治疗,头孢曲松/万古霉素/地塞米松,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染/神经急症指南；待PDF页码/章节检索
66,P1,内科急症,高渗高血糖状态,补液/胰岛素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,高血糖危象指南；待PDF页码/章节检索
67,P1,内科急症,低钠血症抽搐,3%氯化钠,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,低钠血症指南；待PDF页码/章节检索
68,P1,内科急症,严重高钙血症,补液/降钙素/双膦酸盐,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,高钙血症指南；待PDF页码/章节检索
69,P1,内科急症,甲状腺危象,丙硫氧嘧啶/碘剂/β阻滞剂/激素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,甲状腺危象指南；待PDF页码/章节检索
70,P1,内科急症,黏液性水肿昏迷,左甲状腺素/氢化可的松,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,内分泌急症指南；待PDF页码/章节检索
71,P1,内科急症,急性肾上腺皮质功能减退危象,氢化可的松,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,内分泌急症指南；待PDF页码/章节检索
72,P1,内科急症,肿瘤溶解综合征,水化/别嘌醇/拉布立酶,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,肿瘤急症指南；待PDF页码/章节检索
73,P1,内科急症,发热性中性粒细胞减少,抗假单胞菌β内酰胺,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,感染/肿瘤急症指南；待PDF页码/章节检索
74,P1,内科急症,上消化道大出血,质子泵抑制剂/血管活性药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,消化道出血指南；待PDF页码/章节检索
75,P1,内科急症,肝性脑病,乳果糖/利福昔明,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,肝性脑病指南；待PDF页码/章节检索
76,P1,呼吸急症,重症哮喘连续雾化,沙丁胺醇/异丙托溴铵,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,哮喘急性发作指南；待PDF页码/章节检索
77,P1,呼吸急症,哮喘危重发作镁剂,硫酸镁,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,GINA/急诊哮喘指南；待PDF页码/章节检索
78,P1,呼吸急症,AECOPD无创通气前药物,支气管舒张剂/激素/抗菌药,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,慢阻肺急性加重指南；待PDF页码/章节检索
79,P1,呼吸急症,社区获得性肺炎重症经验治疗,β内酰胺/大环内酯/喹诺酮,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,CAP指南；待PDF页码/章节检索
80,P1,呼吸急症,张力性气胸,针刺减压/胸腔闭式引流,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,创伤急救指南；待PDF页码/章节检索
81,P1,呼吸急症,急性呼吸窘迫综合征镇静镇痛,镇静镇痛药/神经肌肉阻滞剂,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,ARDS指南；待PDF页码/章节检索
82,P1,呼吸急症,咯血大咯血,垂体后叶素/氨甲环酸,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,咯血急诊指南；待PDF页码/章节检索
83,P1,呼吸急症,急性喉梗阻,肾上腺素雾化/糖皮质激素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,耳鼻喉急症指南；待PDF页码/章节检索
84,P1,呼吸急症,急性会厌炎,抗菌药/糖皮质激素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,耳鼻喉急症指南；待PDF页码/章节检索
85,P1,呼吸急症,溺水复苏,氧疗/通气/复苏,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境；待PDF页码/章节检索
86,P1,中毒,对乙酰氨基酚中毒,乙酰半胱氨酸,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
87,P1,中毒,水杨酸中毒,碳酸氢钠/血液净化,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
88,P1,中毒,三环类抗抑郁药中毒,碳酸氢钠,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
89,P1,中毒,氰化物中毒,羟钴胺/硫代硫酸钠,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
90,P1,中毒,硝酸盐/亚硝酸盐中毒,亚甲蓝,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
91,P1,中毒,甲醇中毒,甲吡唑/乙醇/血液净化,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
92,P1,中毒,乙二醇中毒,甲吡唑/血液净化,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
93,P1,中毒,毒鼠强中毒,控制惊厥/支持治疗,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
94,P1,中毒,灭鼠药华法林类中毒,维生素K1/PCC,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
95,P1,中毒,百草枯中毒,吸附/血液净化/免疫抑制,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
96,P1,中毒,强酸强碱腐蚀伤,禁催吐/支持治疗,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
97,P1,中毒,酒精中毒低血糖风险,葡萄糖/硫胺素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
98,P1,中毒,可卡因中毒胸痛,苯二氮䓬/硝酸酯,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境/中毒指南；待PDF页码/章节检索
99,P1,中毒,拟交感药物中毒高热,苯二氮䓬/降温,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,急性中毒诊疗指南；待PDF页码/章节检索
100,P1,中毒,抗精神病药恶性综合征,丹曲林/溴隐亭,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,精神科急症指南；待PDF页码/章节检索
101,P1,产科急症,先兆子痫重度高血压,拉贝洛尔/肼屈嗪/硝苯地平,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,妊娠期高血压疾病指南；待PDF页码/章节检索
102,P1,产科急症,子痫硫酸镁中毒处理,葡萄糖酸钙,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,妊娠期高血压疾病指南；待PDF页码/章节检索
103,P1,产科急症,胎盘早剥休克,输血/纠正凝血,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,产科急症指南；待PDF页码/章节检索
104,P1,产科急症,异位妊娠破裂,输液输血/手术,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,妇产科急症指南；待PDF页码/章节检索
105,P1,产科急症,妊娠合并肺栓塞,低分子肝素/溶栓,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,妊娠血栓指南；待PDF页码/章节检索
106,P1,产科急症,孕产妇心脏骤停,心肺复苏/围死亡剖宫产,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境/产科指南；待PDF页码/章节检索
107,P1,儿科急症,儿童心脏骤停,肾上腺素,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,2020 AHA PALS流程；待PDF页码/章节检索
108,P1,儿科急症,儿童过敏性休克,肾上腺素肌内,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,WAO/儿科过敏急症指南；待PDF页码/章节检索
109,P1,儿科急症,儿童低血糖,葡萄糖,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,儿科急症指南；待PDF页码/章节检索
110,P1,儿科急症,儿童癫痫持续状态,地西泮/咪达唑仑,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,儿科癫痫指南；待PDF页码/章节检索
111,P1,儿科急症,儿童脱水休克,等渗晶体液,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,儿科急症指南；待PDF页码/章节检索
112,P1,创伤/环境,创伤疼痛镇痛,芬太尼/吗啡/氯胺酮,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,创伤急救指南；待PDF页码/章节检索
113,P1,创伤/环境,烧伤早期液体复苏,乳酸林格液,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,烧伤诊疗指南；待PDF页码/章节检索
114,P1,创伤/环境,挤压综合征高钾预防,补液/碳酸氢钠,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,灾害医学/创伤指南；待PDF页码/章节检索
115,P1,创伤/环境,破伤风暴露后预防,破伤风疫苗/免疫球蛋白,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,破伤风处置规范；待PDF页码/章节检索
116,P1,创伤/环境,动物咬伤狂犬病暴露,狂犬病疫苗/免疫球蛋白,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,狂犬病暴露预防规范；待PDF页码/章节检索
117,P1,创伤/环境,中暑热射病,快速降温/补液,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,热射病诊疗指南；待PDF页码/章节检索
118,P1,创伤/环境,低体温复温,主动复温/温热液体,P1待指南检索,仅建立D3扩展检索占位；剂量字段未填入数值，避免污染训练。需用权威指南/说明书逐条补齐。,AHA特殊复苏情境；待PDF页码/章节检索
