序号,大类,场景,关键药,首选剂量,儿童剂量,浓度规格,重复频率,后续处理,不可做,来源,QA状态,QA问题
11,神经急症,急性缺血性脑卒中溶栓,阿替普酶,0.9mg/kg静脉，总量最大90mg；10%总量1分钟静脉推注，其余90%于60分钟静脉输注。,儿童缺血性卒中溶栓需专科指南。,按阿替普酶制剂规格复溶。,单次给药；严禁超最大剂量。,严格时间窗、影像排除出血、血压管理，24小时内避免抗栓药（按指南）。,有禁忌证或超时间窗不可盲目溶栓。,急性缺血性脑卒中静脉溶栓指南/阿替普酶说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
12,神经急症,蛛网膜下腔出血,尼莫地平,常用尼莫地平60mg口服或经胃管给药，每4小时一次；需指南/说明书复核。,儿童需专科指南。,常见30mg片。,每4小时一次，疗程按指南。,动脉瘤处理、监测血管痉挛、血压和颅压管理。,低血压时需谨慎，避免脑灌注不足。,蛛网膜下腔出血指南/尼莫地平说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
13,神经急症,癫痫持续状态,地西泮/劳拉西泮,成人常用地西泮10mg缓慢静脉注射或劳拉西泮4mg静脉注射；具体重复和二线药需指南复核。,儿童按体重给药，需儿童惊厥持续状态指南复核。,按具体苯二氮䓬制剂规格。,按发作控制情况和呼吸循环监护决定。,气道保护、血糖检测、二线抗癫痫药负荷、查找病因。,不得在无呼吸监护条件下反复过量苯二氮䓬类。,癫痫持续状态诊疗指南/药品说明书；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
14,神经急症,脑水肿,甘露醇,甘露醇0.5～1g/kg静脉输注；需按颅高压指南/说明书复核。,儿童需专科指南。,常见20%甘露醇注射液。,按颅压、渗透压、肾功能和电解质监测。,抬高头位、处理病因、监测肾功能和血渗透压。,肾功能不全、脱水/电解质异常者不可盲目反复使用。,颅内压增高/神经重症指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
15,内科急症,糖尿病酮症酸中毒,0.9%氯化钠/胰岛素,0.9%氯化钠第1小时15～20ml/kg；胰岛素常用0.1U/kg/h静脉泵入。,儿童DKA补液和胰岛素需按儿童指南复核，避免脑水肿。,普通胰岛素注射液；补液按晶体液规格。,持续泵入并按血糖、酮体、钾和酸碱状态调整。,补钾、监测血糖/电解质/血气，血糖下降后加葡萄糖。,低钾未纠正前不应启动胰岛素；避免血糖下降过快。,糖尿病酮症酸中毒诊疗指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
16,内科急症,高钾血症,葡萄糖酸钙/胰岛素+葡萄糖,心电图改变或重度高钾时10%葡萄糖酸钙10ml静脉缓慢注射；胰岛素10U加50%葡萄糖50ml静脉给药。,儿童需按体重和儿科指南复核。,10%葡萄糖酸钙；普通胰岛素；50%葡萄糖。,按心电图和血钾复查，必要时重复钙剂；持续清除钾。,雾化β2激动剂、碳酸氢钠（有酸中毒时）、利尿/透析、停用保钾药。,钙剂只稳定心肌，不能降低体内总钾；需后续降钾和排钾。,高钾血症急诊处理共识/药品说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
17,内科急症,低血糖,葡萄糖,意识障碍或不能口服者50%葡萄糖20～40ml静脉注射；清醒可口服约15g糖。,儿童按葡萄糖剂量和体重给药，需儿科指南复核。,50%葡萄糖注射液；口服葡萄糖/含糖饮料。,15分钟复测血糖，仍低则重复处理。,进食长效碳水，调整降糖药，查找病因。,昏迷者不可强行口服以免误吸。,低血糖急诊处理流程/糖尿病指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
18,内科急症,急性肺水肿,呋塞米/硝酸甘油/吗啡,常用呋塞米40～80mg静脉；硝酸甘油10～200μg/min静脉泵入；吗啡3～5mg静脉需慎用并按指南复核。,儿童需专科指南。,按具体药品规格。,按血压、尿量、呼吸困难和氧合滴定。,坐位、吸氧/无创通气、控制血压和诱因。,低血压、右室梗死等情形慎用硝酸酯；吗啡不应常规无监护使用。,急性心力衰竭指南/药品说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
19,内科急症,哮喘急性发作,沙丁胺醇/异丙托溴铵/全身糖皮质激素,沙丁胺醇雾化0.15mg/kg，成人常用2.5～5mg；重症初始每20分钟一次共3次。异丙托溴铵0.25～0.5mg雾化；甲泼尼龙1～2mg/kg。,沙丁胺醇0.15mg/kg雾化，单次最大5mg；其他药物按儿科指南。,沙丁胺醇雾化溶液、异丙托溴铵雾化液、甲泼尼龙注射剂。,初始每20分钟一次共3次，随后按病情调整。,吸氧、评估峰流速/血氧，重症考虑硫酸镁和ICU。,不要单独依赖口服药；重症不可延误气道和通气支持。,哮喘急性发作急诊处理指南/GINA；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
20,内科急症,慢阻肺急性加重,沙丁胺醇/异丙托溴铵/糖皮质激素/抗菌药,支气管舒张剂雾化，系统激素和抗菌药剂量需按指南/说明书复核。,不适用。,按具体药品规格。,按症状、血气和氧合调整。,控制氧疗目标、必要时无创通气、评估感染。,氧疗避免过高氧浓度导致二氧化碳潴留风险。,慢阻肺急性加重指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
21,内科急症,急性肺栓塞,肝素/阿替普酶,抗凝和溶栓剂量需按肺栓塞危险分层和指南复核；不宜无源固定入训。,儿童需专科指南。,普通肝素、低分子肝素、阿替普酶规格。,按凝血指标和再灌注策略。,风险分层、氧疗、循环支持、抗凝桥接。,有溶栓禁忌证不可盲目溶栓。,肺血栓栓塞症诊治指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
22,内科急症,主动脉夹层,艾司洛尔/硝普钠,先用β受体阻滞剂控制心率，再必要时加硝普钠；目标常为收缩压100～120mmHg、心率<60次/分。具体剂量需按说明书复核。,儿童需专科指南。,按具体药品规格。,连续监测下静脉滴定。,镇痛、影像确诊、外科/介入评估。,不可先单用血管扩张剂导致反射性心动过速。,主动脉夹层诊疗指南/药品说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
23,中毒,阿片中毒,纳洛酮,纳洛酮0.4～2mg静脉给药，每2～3分钟可重复；总量达10mg仍无效需考虑其他诊断。,儿童按体重给药，需儿科/中毒指南复核。,常见0.4mg/ml或0.4mg/支；以本院供应为准。,每2～3分钟重复，必要时持续输注。,气道和通气支持，监护复发性呼吸抑制。,不能因纳洛酮给药延误通气支持。,急性中毒诊治指南/纳洛酮说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
24,中毒,苯二氮䓬类中毒,氟马西尼,氟马西尼0.2mg静脉，1分钟后0.3mg，必要时0.5mg每分钟重复，总量通常不超过3mg；需说明书复核。,儿童需专科指南。,常见0.5mg/5ml。,按意识和呼吸恢复情况重复。,气道、呼吸和循环支持，监护再镇静。,长期苯二氮䓬使用者、混合三环类抗抑郁药中毒或癫痫风险者慎用/禁用。,急性中毒诊治指南/氟马西尼说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
25,中毒,有机磷中毒,阿托品/解磷定,阿托品化和胆碱酯酶复能剂剂量需按中毒严重程度快速滴定；不宜无源固定入训。,儿童按体重给药，需中毒指南。,阿托品注射液、氯解磷定/碘解磷定。,按分泌物、肺部啰音、心率和意识动态调整。,脱污染、气道管理、呼吸支持、监测胆碱酯酶。,不要等实验室结果才开始抢救；阿托品不足会致命。,急性有机磷农药中毒诊治指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
26,中毒,一氧化碳中毒,氧疗/高压氧,立即给予100%氧；高压氧适应证和疗程需按指南复核。,儿童按中毒指南。,高流量氧、无创/有创通气或高压氧舱。,按碳氧血红蛋白、意识和器官损伤评估。,脱离现场、心电监测、评估迟发性脑病。,不能仅凭脉搏氧饱和度排除中毒。,一氧化碳中毒诊治指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
27,产科急症,子痫,硫酸镁,硫酸镁4～6g静脉20分钟负荷，随后1～2g/h维持。,不适用。,常见25%硫酸镁注射液；按产科流程稀释。,按反射、呼吸、尿量和血镁监测维持。,控制血压、评估终止妊娠时机；备葡萄糖酸钙解救镁中毒。,膝反射消失、呼吸抑制或尿量不足时不可继续盲目给镁。,妊娠期高血压疾病诊治指南/硫酸镁说明书；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
28,产科急症,产后出血,缩宫素/卡前列素/米索前列醇,缩宫素、卡前列素和米索前列醇剂量需按产后出血指南与说明书复核。,不适用。,按具体制剂规格。,按出血量、宫缩和生命体征处理。,按摩子宫、止血、输血、纠正凝血障碍、手术/介入。,不要仅依赖药物而延误机械/手术止血。,产后出血预防与处理指南；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
29,产科急症,羊水栓塞,支持治疗/血制品,无特异解毒剂；血制品和血管活性药按休克和DIC情况个体化。,不适用。,按具体药品和血制品。,按循环、氧合和凝血动态处理。,气道循环支持、纠正DIC、产科止血、多学科抢救。,不要等待完全确诊才启动抢救。,羊水栓塞诊治专家共识；待核,待指南检索,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
30,儿科急症,儿童哮喘急性发作,沙丁胺醇,沙丁胺醇雾化0.15mg/kg，单次最大5mg；重症初始每20分钟一次共3次。,同首选剂量；后续按儿科哮喘指南。,沙丁胺醇雾化溶液。,初始每20分钟一次共3次，随后按病情调整。,吸氧、异丙托溴铵、全身糖皮质激素，必要时硫酸镁/ICU。,重症不可延误氧疗和高级气道支持。,儿童支气管哮喘急性发作诊疗指南；需PDF页码二核,需PDF页码二核,已按常用急救剂量初筛；未绑定具体PDF页码，不可直接入训
